audio_path,genre,title,artist,lyrics
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\reggae\reggae.00099.wav,reggae,REGGAE SONG,Asto Pasam,LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00000.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00001.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00002.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00003.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00004.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00005.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00006.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00007.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00008.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00009.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00010.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00011.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00012.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00013.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00014.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00015.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00016.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00017.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00018.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00019.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00020.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00021.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00022.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00023.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00024.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00025.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00026.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00027.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00028.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00029.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00030.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00031.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00032.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00033.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00034.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00035.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00036.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00037.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00038.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00039.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00040.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00041.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00042.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00043.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00044.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00045.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00046.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00047.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00048.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00049.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00050.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00051.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00052.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00053.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00054.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00055.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00056.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00057.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00058.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00059.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00060.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00061.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00062.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00063.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00064.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00065.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00066.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00067.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00068.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00069.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00070.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00071.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00072.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00073.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00074.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00075.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00076.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00077.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00078.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00079.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00080.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00081.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00082.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00083.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00084.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00085.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00086.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00087.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
C:\Narasimha\KLETU Related\6th Semester Related\GenAI and NLP\GenAI\Course Project\Dataset\GTZAN\genres_original\rock\rock.00088.wav,rock,Автотюновая рок-песня (Autotune Rock Song),Джизус (Dzhizus),LYRICS_NOT_FOUND
